"title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short","Category","id"
"Agent Cody Banks",2003,102,2.6e+07,5.5,2655,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0,"Comedy",1004
"Agent Cody Banks 2: Destination London",2004,100,2.6e+07,3.8,919,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0,"Comedy",1005
"Air Bud",1997,98,3e+06,4.7,1276,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG",0,0,1,1,0,0,0,"Comedy",1006
"Airborne",1993,91,2600000,5.2,1047,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"",0,0,1,0,0,0,0,"Comedy",1007
"Airplane!",1980,88,3500000,7.8,23369,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"",0,0,1,0,0,0,0,"Comedy",1008
"Akumulator 1",1994,102,2e+06,7.1,272,4.5,0,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,"",0,0,1,0,0,0,0,"Comedy",1009
"Aladdin",1992,90,2.8e+07,7.6,22499,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"",0,1,1,0,0,0,0,"Comedy",1010
"Alan Smithee Film: Burn Hollywood Burn, An",1997,86,1e+07,3.2,1262,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0,"Comedy",1011
"Alferd Packer: The Musical",1996,97,125000,7,2298,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"R",0,0,1,0,0,1,0,"Comedy",1012
"Alfie",1966,114,8e+05,7.1,1644,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"",0,0,1,1,0,0,0,"Comedy",1013
"Alfie",2004,103,6e+07,6,3492,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0,"Comedy",1014
"Alice",1990,102,1.2e+07,6.4,1706,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"",0,0,1,1,0,1,0,"Comedy",1015
"Alice in Wonderland",1951,75,3e+06,7.2,4656,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,1,1,0,0,0,0,"Comedy",1016
"All About the Benjamins",2002,95,1.4e+07,5.4,1250,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,1,0,0,0,0,"Comedy",1017
"All Through the Night",1942,107,750000,7,361,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"",1,0,1,1,0,0,0,"Comedy",1018
"All the Queen's Men",2001,105,2.5e+07,5,353,4.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",1,0,1,1,0,0,0,"Comedy",1019
"All the Stage Is a World",2005,89,12000,7,7,14.5,0,0,0,14.5,0,14.5,24.5,0,24.5,"",0,0,1,1,1,0,0,"Comedy",1020
"All the Vermeers in New York",1990,87,250000,5.9,126,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,"",0,0,1,1,0,1,0,"Comedy",1021
"Alligator",1980,89,1e+06,5.5,1032,4.5,4.5,4.5,14.5,14.5,14.5,24.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0,"Comedy",1022
"Almost Famous",2000,162,6e+07,8,38648,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,1,1,0,0,0,"Comedy",1023
"Almost You",1985,96,1e+06,4.9,44,4.5,4.5,14.5,4.5,24.5,14.5,14.5,4.5,4.5,4.5,"",0,0,1,1,0,0,0,"Comedy",1024
"Along Came Polly",2004,90,4.2e+07,5.8,9785,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0,"Comedy",1025
"America's Sweethearts",2001,102,4.8e+07,5.8,11849,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0,"Comedy",1026
"American Desi",2001,100,250000,6.8,291,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"",0,0,1,1,0,1,0,"Comedy",1027
"American Drive-In",1985,92,1e+07,4.1,25,14.5,14.5,14.5,24.5,4.5,24.5,4.5,0,0,4.5,"",0,0,1,0,0,0,0,"Comedy",1028
"American Graffiti",1973,110,777000,7.6,12758,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,1,1,0,0,0,"Comedy",1029
"American Jedi",2002,8,2000,7.9,9,0,14.5,0,0,0,14.5,14.5,0,44.5,24.5,"",0,0,1,0,0,0,1,"Comedy",1030
"American Outlaws",2001,94,3.5e+07,5.5,2878,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"PG-13",1,0,1,0,0,0,0,"Comedy",1031
"American Pie",1999,95,1.1e+07,6.8,41126,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,0,0,0,0,"Comedy",1032
"American Pie 2",2001,105,3e+07,6.3,22752,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0,"Comedy",1033
"American President, The",1995,114,6.2e+07,6.9,11834,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",0,0,1,1,0,1,0,"Comedy",1034
"American Raspberry",1977,75,50000,5.5,17,0,4.5,4.5,4.5,4.5,14.5,44.5,14.5,4.5,0,"",0,0,1,0,0,0,0,"Comedy",1035
"American Wedding",2003,103,5.5e+07,6.3,13590,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0,"Comedy",1036
"American Werewolf in London, An",1981,92,1e+07,7.2,8347,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,1,0,0,1,0,"Comedy",1037
"American Werewolf in Paris, An",1997,105,2.2e+07,5,4302,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,0,0,1,0,"Comedy",1038
"Analyze This",1999,109,3e+07,6.6,24521,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0,"Comedy",1039
"Anatomy of a Fight",2003,80,17000,6.5,24,4.5,0,0,0,0,4.5,4.5,24.5,44.5,24.5,"",0,0,1,1,0,0,0,"Comedy",1040
"Anchorman: The Legend of Ron Burgundy",2004,104,2.6e+07,6.5,11553,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0,"Comedy",1041
"And Baby Makes Three",1949,84,7e+05,5.3,22,0,0,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"",0,0,1,0,0,1,0,"Comedy",1042
"And Now for Something Completely Different",1971,85,1e+05,7.4,3539,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,1,0,0,0,0,"Comedy",1043
"Anger Management",2003,106,7.5e+07,6,14280,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,"Comedy",1044
"Animal House",1978,109,3e+06,7.5,17609,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",0,0,1,0,0,0,0,"Comedy",1045
"Animal, The",2001,84,2.2e+07,4.8,5605,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0,"Comedy",1046
"Annie Get Your Gun",1950,107,3768785,7.2,529,4.5,4.5,4.5,4.5,4.5,4.5,24.5,14.5,14.5,24.5,"",0,0,1,0,0,1,0,"Comedy",1047
"Annie Hall",1977,93,4e+06,8.3,21462,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,"",0,0,1,0,0,1,0,"Comedy",1048
"Another You",1991,94,2.6e+07,4.4,398,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0,"Comedy",1049
"Antman, The",2002,94,8e+05,7.2,53,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,24.5,"",0,0,1,0,0,0,0,"Comedy",1050
"Antz",1998,83,6e+07,7,16312,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"PG",0,1,1,0,0,0,0,"Comedy",1051
"Anus Magillicutty",2003,70,5000,1.8,488,74.5,4.5,4.5,0,4.5,0,4.5,4.5,4.5,24.5,"",0,0,1,0,0,1,0,"Comedy",1052
"Anything Else",2003,108,1.8e+07,6.5,3678,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,1,0,"Comedy",1053
"Anything Goes",1936,92,1100000,6,44,4.5,0,4.5,4.5,4.5,24.5,24.5,4.5,4.5,24.5,"",0,0,1,0,0,0,0,"Comedy",1054
"Apartment, The",1960,125,3e+06,8.4,11214,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,"",0,0,1,1,0,1,0,"Comedy",1055
"Arachnophobia",1990,103,3.1e+07,6.1,8608,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0,"Comedy",1056
"Are We There Yet?",2005,95,3.2e+07,3.5,1043,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"PG",0,0,1,0,0,0,0,"Comedy",1057
"Argentino en New York, Un",1998,95,3e+06,4.2,49,24.5,4.5,14.5,4.5,14.5,4.5,4.5,4.5,0,14.5,"",0,0,1,1,0,0,0,"Comedy",1058
"Army of Darkness",1993,96,1.1e+07,7.4,22118,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",1,0,1,0,0,0,0,"Comedy",1059
"Around the World in 80 Days",2004,120,1.1e+08,5.7,3887,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG",1,0,1,0,0,1,0,"Comedy",1060
"Around the World in Eighty Days",1956,175,6e+06,6.8,2589,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"",0,0,1,0,0,0,0,"Comedy",1061
"Arrangement",2004,109,3200000,9.2,23,4.5,0,0,0,0,0,4.5,4.5,24.5,64.5,"",0,0,1,0,0,1,0,"Comedy",1062
"Arthur",1981,97,7e+06,6.6,4595,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,1,0,"Comedy",1063
"Artists and Models",1955,109,1500000,6.2,433,4.5,4.5,4.5,4.5,14.5,14.5,34.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0,"Comedy",1064
"As Good as It Gets",1997,139,5e+07,7.7,47441,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"PG-13",0,0,1,1,0,1,0,"Comedy",1065
"Asesino en serio",2002,84,2500000,5.8,90,4.5,4.5,4.5,14.5,14.5,14.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0,"Comedy",1066
"Ash Wednesday",2005,23,4999,8.6,12,4.5,4.5,0,0,0,0,0,0,0,84.5,"",0,0,1,1,0,1,1,"Comedy",1067
"Assault of the Killer Bimbos",1988,85,250000,4,149,14.5,14.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,14.5,"",0,0,1,0,0,0,0,"Comedy",1068
"Assisted Living",2003,78,5e+05,7.4,56,4.5,4.5,4.5,14.5,4.5,4.5,14.5,14.5,4.5,34.5,"",0,0,1,1,0,0,0,"Comedy",1069
"Asterix in Amerika",1994,85,12500000,5.4,394,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"",0,1,1,0,0,0,0,"Comedy",1070
"At Long Last Love",1975,105,6e+06,4.3,193,14.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,14.5,"",0,0,1,0,0,1,0,"Comedy",1071
"Attic Man",2004,10,6000,8.7,7,14.5,0,0,0,0,0,0,0,0,84.5,"",0,0,1,0,0,0,1,"Comedy",1072
"Austin Powers in Goldmember",2002,94,6.3e+07,6.2,22870,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0,"Comedy",1073
"Austin Powers: International Man of Mystery",1997,94,1.7e+07,7,33755,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",1,0,1,0,0,0,0,"Comedy",1074
"Austin Powers: The Spy Who Shagged Me",1999,95,3.3e+07,6.5,37019,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0,"Comedy",1075
"Auteur Theory, The",1999,79,70000,4.5,76,24.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,14.5,"",0,0,1,0,0,0,0,"Comedy",1076
"Avanti!",1972,140,2750000,7.2,1043,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,1,1,0,1,0,"Comedy",1077
"Babe",1995,89,3e+07,7.4,16988,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"",0,0,1,1,0,0,0,"Comedy",1078
"Babe: Pig in the City",1998,97,8e+07,6.5,3827,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"",0,0,1,0,0,0,0,"Comedy",1079
"Baby Geniuses",1999,97,1.3e+07,2.4,3142,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0,"Comedy",1080
"Baby It's You",1983,105,3e+06,6.3,435,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"",0,0,1,1,0,1,0,"Comedy",1081
"Baby's Day Out",1994,99,5e+07,4.4,1856,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0,"Comedy",1082
"Bacheha-Ye aseman",1997,89,180000,7.6,1499,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,"",0,0,1,1,0,0,0,"Comedy",1083
"Bachelor Father, The",1931,90,502000,5.5,35,0,4.5,4.5,14.5,4.5,24.5,24.5,14.5,4.5,14.5,"",0,0,1,1,0,0,0,"Comedy",1084
"Bachelor, The",1999,101,2.1e+07,5,4183,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0,"Comedy",1085
"Back to the Future",1985,111,1.9e+07,8.1,68647,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",1,0,1,0,0,0,0,"Comedy",1086
"Back to the Future Part II",1989,108,4e+07,7,28547,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,1,0,0,0,0,"Comedy",1087
"Back to the Future Part III",1990,118,4e+07,6.7,24682,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0,"Comedy",1088
"Bad Boy Bubby",1993,112,750000,7,1033,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,"",0,0,1,1,0,0,0,"Comedy",1089
"Bad Boys",1995,118,2.3e+07,6.4,15326,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,1,0,0,0,0,"Comedy",1090
"Bad Boys II",2003,145,1.3e+08,6.1,13087,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"R",1,0,1,0,0,0,0,"Comedy",1091
"Bad Company",2002,116,7e+07,5.4,6175,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0,"Comedy",1092
"Bad Girls from Mars",1991,86,52000,3.7,50,14.5,14.5,24.5,14.5,4.5,4.5,14.5,4.5,4.5,14.5,"",0,0,1,0,0,0,0,"Comedy",1093
"Bad Santa",2003,98,1.8e+07,7.2,11189,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,0,0,0,0,"Comedy",1094
"Bad Taste",1987,86,150000,6.9,7048,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"",0,0,1,0,0,0,0,"Comedy",1095
"Bait",2000,119,3.5e+07,5.6,1884,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"R",1,0,1,0,0,0,0,"Comedy",1096
"Ballad of Cable Hogue, The",1970,121,3716946,7.2,712,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"",0,0,1,0,0,0,0,"Comedy",1097
"Bamboozled",2000,135,1e+07,6.3,2356,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"R",0,0,1,1,0,0,0,"Comedy",1098
"Bananas",1971,82,2e+06,7.1,4252,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"PG-13",0,0,1,0,0,0,0,"Comedy",1099
"Band Wagon, The",1953,111,2169120,7.5,1207,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"",0,0,1,0,0,0,0,"Comedy",1100
"Bandits",2001,123,8e+07,6.7,12382,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"PG-13",0,0,1,1,0,1,0,"Comedy",1101
"Banger Sisters, The",2002,98,1e+07,5.6,3189,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,1,1,0,0,0,"Comedy",1102
"Bank Robbery, The",2003,2,1000,5.7,11,14.5,0,0,4.5,0,4.5,0,14.5,4.5,34.5,"",0,0,1,0,0,0,1,"Comedy",1103
"Baptists at Our Barbecue",2004,92,5e+05,5.9,62,14.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,4.5,24.5,"PG",0,0,1,0,0,1,0,"Comedy",1104
"Barbershop",2002,102,1.2e+07,6.6,4943,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"PG-13",0,0,1,1,0,0,0,"Comedy",1105
"Barbershop 2: Back in Business",2004,106,1.8e+07,5.7,1580,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,"Comedy",1106
"Barcelona",1994,101,3200000,6.6,1570,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"",0,0,1,1,0,1,0,"Comedy",1107
"Barkleys of Broadway, The",1949,109,2325420,6.6,285,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0,"Comedy",1108
"Barn Dance, The",1929,7,5121,5.9,22,0,0,0,4.5,24.5,24.5,4.5,14.5,4.5,14.5,"",0,1,1,0,0,0,1,"Comedy",1109
"Bashful Bachelor, The",1942,78,165000,5.7,7,0,0,0,14.5,14.5,45.5,14.5,0,0,0,"",0,0,1,0,0,0,0,"Comedy",1110
"Basket Case 2",1990,90,2500000,3.9,310,14.5,14.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0,"Comedy",1111
"Bathing Beauty",1944,101,2361000,6.1,143,4.5,4.5,4.5,4.5,4.5,24.5,14.5,14.5,4.5,14.5,"",0,0,1,0,0,0,0,"Comedy",1112
"Battle of Shaker Heights, The",2003,90,1e+06,6,854,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG-13",0,0,1,1,0,1,0,"Comedy",1113
"Be Cool",2005,118,5.3e+07,5.5,4560,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0,"Comedy",1114
"Be Good Daniel",2004,20,4000,5.7,8,14.5,14.5,14.5,0,0,14.5,14.5,0,14.5,24.5,"",0,0,1,0,0,1,1,"Comedy",1115
"Beach Party",1963,101,350000,5.3,226,4.5,4.5,4.5,14.5,14.5,14.5,24.5,4.5,4.5,14.5,"",0,0,1,0,0,1,0,"Comedy",1116
"Bean",1997,90,2.2e+07,5.4,9018,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,"Comedy",1117
"Bear, The",1984,110,221000,5.9,135,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"",0,0,1,1,0,0,0,"Comedy",1118
"Beaster",2004,10,5000,6.9,9,34.5,0,0,0,0,0,0,0,14.5,45.5,"",0,0,1,0,0,0,1,"Comedy",1119
"Beat the Devil",1953,100,1e+06,6.6,1034,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"",0,0,1,1,0,1,0,"Comedy",1120
"Beat, The",2003,85,7e+05,8.5,22,4.5,0,0,0,0,0,0,24.5,14.5,45.5,"",0,0,1,1,0,0,0,"Comedy",1121
"Beautiful",2000,112,9e+06,5.3,991,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,1,0,0,0,"Comedy",1122
"Beavis and Butt-Head Do America",1996,81,1.2e+07,6.2,9491,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"PG-13",0,1,1,0,0,0,0,"Comedy",1123
"Because of Winn-Dixie",2005,106,1.4e+07,5.9,483,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,34.5,"PG",0,0,1,1,0,0,0,"Comedy",1124
"Bedazzled",2000,93,4.8e+07,5.9,11439,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,"Comedy",1125
"Beer Muscles",2004,90,5000,9.3,11,0,0,0,0,0,0,4.5,14.5,4.5,64.5,"",0,0,1,0,0,0,0,"Comedy",1126
"Beetle Juice",1988,92,1.5e+07,7.1,20966,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"",0,0,1,0,0,0,0,"Comedy",1127
"Being Human",1993,122,3e+07,4.8,966,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"",0,0,1,1,0,0,0,"Comedy",1128
"Being John Malkovich",1999,113,1.3e+07,7.9,55079,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"",0,0,1,1,0,0,0,"Comedy",1129
"Being Julia",2004,104,1.8e+07,7.2,1671,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,1,0,0,0,"Comedy",1130
"Bela Lugosi Meets a Brooklyn Gorilla",1952,74,50000,2.6,161,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"",0,0,1,0,0,0,0,"Comedy",1131
"Bellboy, The",1960,72,9e+05,6.1,369,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"",0,0,1,0,0,0,0,"Comedy",1132
"Belle of New York, The",1952,82,2606644,5.7,98,0,4.5,4.5,14.5,14.5,34.5,24.5,4.5,4.5,4.5,"",0,0,1,0,0,1,0,"Comedy",1133
"Belle of the Nineties",1934,73,8e+05,6.3,84,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0,"Comedy",1134
"Bells Are Ringing",1960,127,2203123,6.8,386,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,14.5,14.5,"",0,0,1,0,0,1,0,"Comedy",1135
"Below the Belt",2004,95,1500000,7.9,15,0,0,14.5,0,0,0,24.5,0,34.5,24.5,"",0,0,1,0,0,0,0,"Comedy",1136
"Beneath the Valley of the Ultra-Vixens",1979,93,239000,5.2,402,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"",0,0,1,0,0,0,0,"Comedy",1137
"Best Foot Forward",1943,94,1125502,6.2,97,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"",0,0,1,0,0,0,0,"Comedy",1138
"Best in Show",2000,90,6e+06,7.5,11790,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,24.5,14.5,"PG-13",0,0,1,0,0,0,0,"Comedy",1139
"Better Than Sex",2002,92,3e+05,6.8,90,4.5,0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,"",0,0,1,0,0,0,0,"Comedy",1140
"Beverly Hills Cop",1984,105,1.5e+07,7.1,16360,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"",1,0,1,0,0,0,0,"Comedy",1141
"Beverly Hills Cop II",1987,100,2e+07,5.8,10446,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"",1,0,1,0,0,0,0,"Comedy",1142
"Beverly Hills Cop III",1994,104,5e+07,4.7,6519,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"",1,0,1,0,0,0,0,"Comedy",1143
"Beyond Expectations",1998,94,60000,7.6,5,0,0,24.5,0,0,0,24.5,0,44.5,24.5,"",0,0,1,0,0,0,0,"Comedy",1144
"Beyond Re-Animator",2003,96,3e+06,6.1,908,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0,"Comedy",1145
"Beyond the Valley of the Dolls",1970,111,9e+05,5.4,1575,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,"",0,0,1,1,0,0,0,"Comedy",1146
"Big",1988,104,1.8e+07,7.2,18660,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"",0,0,1,0,0,0,0,"Comedy",1147
"Big Bounce, The",2004,88,5e+07,4.7,2505,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,"Comedy",1148
"Big Bully",1996,90,1.5e+07,4.2,781,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",0,0,1,1,0,0,0,"Comedy",1149
"Big Daddy",1999,93,34200000,5.9,18258,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,"Comedy",1150
"Big Fat Liar",2002,88,1.5e+07,5.5,2453,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG",0,0,1,0,0,0,0,"Comedy",1151
"Big Fish",2003,125,7e+07,8.1,31525,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"PG-13",0,0,1,1,0,0,0,"Comedy",1152
"Big Hit, The",1998,91,1.3e+07,5.7,6206,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,1,0,0,0,0,"Comedy",1153
"Big Lebowski, The",1998,117,1.5e+07,8,50179,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,"R",0,0,1,0,0,0,0,"Comedy",1154
"Big Momma's House",2000,98,3e+07,4.7,7509,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0,"Comedy",1155
